asx_ticker,n_asx_etfs,etfs,etf_shares,inflow5_usd,adv_dollars_63d,last_close,etf_pct_float,days_to_exit_20pct_adv,inflow5_buy_days,forced_flow_score
WDS.AX,18,"A200.AX,AUMF.AX,GEAR.AX,HVST.AX,ILC.AX,IOZ.AX,IVE.AX,MVOL.AX,MVR.AX,MVW.AX,QOZ.AX,QRE.AX,VAS.AX,VEU.AX,VHY.AX,VLC.AX,VVLU.AX,ZYAU.AX",86521989.0,80634337.63924323,221824782.67,28.77,0.04563837624437089,63.10024715559087,0.3635046394216455,0.8013767518729993
SOL.AX,12,"A200.AX,EX20.AX,GEAR.AX,HVST.AX,IOZ.AX,IVE.AX,MVOL.AX,MVW.AX,QFN.AX,QOZ.AX,VAS.AX,VEU.AX",13037283.0,16746834.437267652,27160688.060317464,44.29,0.03993169460834281,101.96414861682862,0.6165835858089049,0.8007584343953672
AGL.AX,15,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,HVST.AX,IOZ.AX,MVE.AX,MVOL.AX,MVW.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VSO.AX,ZYAU.AX",31128045.0,9833479.12979841,22343291.54920635,8.62,0.046270045380771736,64.27664195182359,0.4401087954360826,0.7995383647978193
RFF.AX,4,"ISO.AX,QOZ.AX,VAP.AX,VAS.AX",21450175.0,1112222.2384154678,1086124.4242857143,2.06,0.05503954104214138,198.75985584038133,1.0240283834395094,0.7993131933554205
WOW.AX,15,"A200.AX,AUMF.AX,FAIR.AX,GEAR.AX,HVST.AX,ILC.AX,IOZ.AX,IVE.AX,IXI.AX,MVOL.AX,MVW.AX,QOZ.AX,VAS.AX,VEU.AX,WDMF.AX",44849569.0,47272838.366911225,92341599.31063493,38.55,0.03671381685040862,87.37842365563776,0.5119343689065481,0.7946509313143972
PPT.AX,14,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,GRNV.AX,IOZ.AX,ISO.AX,QFN.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VSO.AX,ZYAU.AX",4262208.0,2274284.8901920784,3984038.7300000004,15.64,0.0368539818585928,86.40776259140227,0.570849091668363,0.7929442220976055
WES.AX,13,"A200.AX,AUMF.AX,GEAR.AX,HVST.AX,ILC.AX,IOZ.AX,IVE.AX,MVOL.AX,MVW.AX,QOZ.AX,VAS.AX,VEU.AX,VLC.AX",38667713.0,87264623.62387833,126830951.21174602,86.15,0.03406006712000564,117.39451556917089,0.6880388642531651,0.7927295308914565
PRU.AX,14,"A200.AX,AUMF.AX,EX20.AX,GDX.AX,GEAR.AX,IOZ.AX,MVE.AX,MVOL.AX,MVR.AX,MVW.AX,QOZ.AX,QRE.AX,VAS.AX,VSO.AX",55141622.0,11290791.856602503,21693084.00428572,5.43,0.04095555680696581,67.27459812026069,0.5204788703335993,0.7914460640951495
MONY.AX,2,"FLOT.AX,PLUS.AX",510000.0,1279199.14878,152840.91206349205,50.21,0.24002665806809617,836.0829785683802,8.369481256750184,0.7904801319961064
ALD.AX,15,"A200.AX,EX20.AX,GEAR.AX,IOZ.AX,MVE.AX,MVOL.AX,MVR.AX,MVW.AX,QOZ.AX,QRE.AX,VAS.AX,VEU.AX,VHY.AX,VSO.AX,ZYAU.AX",12613336.0,15635674.179806784,38635624.46809524,33.31,0.05293002475826302,55.52933284816221,0.4046957799975125,0.7858973496525061
NWH.AX,13,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IHD.AX,IOZ.AX,ISO.AX,MVS.AX,QOZ.AX,VAS.AX,VHY.AX,VSO.AX,ZYAU.AX",18712872.0,4959819.151110636,9053009.297301585,6.97,0.040727351736105234,68.98387547735445,0.5478641397826688,0.7847352615504823
ALX.AX,18,"A200.AX,EX20.AX,GEAR.AX,GLIN.AX,GRNV.AX,IFRA.AX,IHD.AX,IOZ.AX,MVE.AX,MVOL.AX,MVW.AX,QOZ.AX,VAS.AX,VBLD.AX,VEU.AX,VHY.AX,VSO.AX,ZYAU.AX",59036716.0,11445609.455322487,27584180.757301588,5.1,0.04068609380458612,52.219103853978396,0.41493381862692486,0.7770746642757826
BSL.AX,14,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,GRNV.AX,IOZ.AX,MVOL.AX,MVW.AX,QOZ.AX,VAS.AX,VEU.AX,VSO.AX,VVLU.AX,WDMF.AX",16239172.0,17999598.826572884,34775928.0436508,33.5,0.037069181953467784,70.15275995160974,0.5175878787182835,0.7757501983563038
ORA.AX,17,"A200.AX,AUMF.AX,EX20.AX,FAIR.AX,GEAR.AX,GRNV.AX,IHD.AX,IOZ.AX,ISO.AX,MVOL.AX,MVS.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VSO.AX,ZYAU.AX",56579173.0,2744396.4753319533,8281525.3317460315,1.39,0.0461741588182869,50.27958760301038,0.33138780181130467,0.7705558366136656
